id,dt,accel_x,accel_y,accel_z,accel_angle_x,accel_angle_y,accel_angle_z,angle_x,angle_y,angle_z,phase
3631,0.032,-304.0,-11304.0,13652.0,-39.62,0.98,0.0,-39.93,1.71,29.8,1
3632,0.032,-416.0,-10968.0,13720.0,-38.63,1.36,0.0,-40.1,1.73,29.8,1
3633,0.029999997,-1412.0,-12712.0,13016.0,-44.16,4.44,0.0,-42.97,2.2,29.92,1
3634,0.032,-496.0,-11696.0,13400.0,-41.1,1.6,0.0,-43.48,2.24,29.93,1
3635,0.032,-228.0,-11544.0,13132.0,-41.31,0.75,0.0,-43.66,2.23,29.9,1
3636,0.031,-480.0,-11936.0,13296.0,-41.9,1.54,0.0,-43.56,2.2,29.9,1
3637,0.032,-372.0,-11792.0,13200.0,-41.76,1.2,0.0,-43.81,2.19,29.88,1
3638,0.031,-600.0,-11664.0,13324.0,-41.17,1.94,0.0,-43.97,2.23,29.85,1
3639,0.032,-476.0,-12020.0,13292.0,-42.1,1.52,0.0,-44.14,2.21,29.84,1
3640,0.031,-284.0,-11600.0,13072.0,-41.58,0.93,0.0,-44.64,2.23,29.82,1
3641,0.031,-612.0,-12136.0,12940.0,-43.13,1.98,0.0,-45.48,2.29,29.79,1
3642,0.032,-440.0,-12388.0,12644.0,-44.4,1.42,0.0,-46.62,2.36,29.81,1
3643,0.032,-688.0,-11888.0,10892.0,-47.45,2.44,0.0,-47.68,2.45,29.77,1
3644,0.031,-708.0,-13172.0,11904.0,-47.84,2.28,0.0,-49.3,2.63,29.75,1
3645,0.031,-636.0,-12908.0,11448.0,-48.39,2.11,0.0,-50.83,2.78,29.71,1
3646,0.032,-696.0,-13288.0,11072.0,-50.14,2.3,0.0,-51.88,2.89,29.72,1
3647,0.032,-636.0,-13404.0,11160.0,-50.17,2.09,0.0,-52.52,2.96,29.72,1
3648,0.031,-700.0,-13524.0,10764.0,-51.42,2.32,0.0,-53.24,3.02,29.7,1
3649,0.031,-708.0,-14080.0,10664.0,-52.8,2.3,0.0,-54.77,3.15,29.69,1
3650,0.032,-748.0,-14028.0,10188.0,-53.94,2.47,0.0,-55.62,3.24,29.75,1
3651,0.032,-580.0,-13916.0,9980.0,-54.31,1.94,0.0,-56.1,3.29,29.73,1
3652,0.029999997,-860.0,-14468.0,9644.0,-56.21,2.83,0.0,-56.65,3.35,29.75,1
3653,0.032,-812.0,-14268.0,9708.0,-55.68,2.69,0.0,-57.46,3.41,29.75,1
3654,0.031,-808.0,-14412.0,9444.0,-56.67,2.68,0.0,-58.49,3.48,29.73,1
3655,0.031,-712.0,-14548.0,9112.0,-57.86,2.38,0.0,-58.98,3.5,29.77,1
3656,0.031,-924.0,-14520.0,8952.0,-58.21,3.1,0.0,-59.53,3.56,29.76,1
3657,0.032,-920.0,-14820.0,8900.0,-58.88,3.05,0.0,-60.36,3.63,29.73,1
