id,dt,accel_x,accel_y,accel_z,accel_angle_x,accel_angle_y,accel_angle_z,angle_x,angle_y,angle_z
0,0.0,-0.02,-0.05,-0.11,-2.24,5.28,0.0,-0.09,0.21,-0.0
1,0.018,0.03,0.07,-0.04,-1.62,4.99,0.0,-0.15,0.4,-0.01
2,0.025,0.03,-0.13,0.08,-2.6,4.91,0.0,-0.24,0.59,0.0
3,0.025999999,-0.1,-0.0,-0.14,-1.99,5.74,0.0,-0.27,0.79,-0.05
4,0.027,-0.06,0.02,0.04,-1.87,5.39,0.0,-0.35,0.98,-0.06
5,0.025,-0.02,-0.01,0.02,-2.0,5.22,0.0,-0.45,1.13,-0.04
6,0.027,-0.06,-0.15,0.07,-2.72,5.38,0.0,-0.54,1.29,-0.1
7,0.027,-0.07,-0.0,-0.04,-1.98,5.51,0.0,-0.58,1.45,-0.16
8,0.025999999,0.05,-0.03,0.05,-2.12,4.84,0.0,-0.65,1.58,-0.14
9,0.025999999,0.22,0.1,-0.1,-1.45,4.02,0.0,-0.65,1.68,-0.14
10,0.025,-0.05,0.13,-0.13,-1.27,5.46,0.0,-0.68,1.84,-0.15
11,0.027,-0.01,-0.1,0.02,-2.48,5.17,0.0,-0.79,1.94,-0.25
12,0.027,-0.17,-0.24,0.17,-3.14,5.89,0.0,-0.89,2.11,-0.29
13,0.025,-0.16,-0.05,0.18,-2.16,5.85,0.0,-0.9,2.22,-0.34
14,0.027,0.13,0.11,-0.03,-1.4,4.47,0.0,-0.87,2.28,-0.4
15,0.025999999,0.05,-0.01,0.03,-2.01,4.85,0.0,-0.92,2.38,-0.44
16,0.025999999,-0.03,-0.0,0.07,-1.95,5.24,0.0,-0.93,2.49,-0.49
17,0.027,0.08,0.0,-0.04,-1.96,4.7,0.0,-0.9,2.58,-0.59
18,0.025,-0.03,0.03,-0.05,-1.79,5.31,0.0,-0.97,2.69,-0.59
19,0.027,-0.07,-0.04,0.04,-2.14,5.47,0.0,-1.02,2.83,-0.58
20,0.025999999,-0.07,0.1,0.05,-1.43,5.45,0.0,-1.06,2.94,-0.49
21,0.025999999,-0.19,-0.01,-0.05,-2.01,6.14,0.0,-1.1,3.06,-0.47
22,0.027,0.02,-0.01,0.05,-2.0,5.01,0.0,-1.13,3.09,-0.58
23,0.025,0.02,0.0,0.03,-1.94,5.0,0.0,-1.12,3.19,-0.56
24,0.025999999,0.07,0.0,0.02,-1.93,4.74,0.0,-1.13,3.22,-0.62
25,0.025999999,0.08,-0.0,-0.0,-1.96,4.7,0.0,-1.15,3.27,-0.65
26,0.025999999,-0.01,-0.03,-0.01,-2.1,5.19,0.0,-1.17,3.35,-0.69
27,0.027,0.08,0.05,-0.17,-1.7,4.8,0.0,-1.2,3.41,-0.7
28,0.025,-0.11,0.06,-0.08,-1.67,5.73,0.0,-1.2,3.52,-0.72
29,0.027,-0.06,-0.06,0.15,-2.23,5.34,0.0,-1.24,3.55,-0.76
30,0.025999999,-0.01,0.04,-0.12,-1.79,5.21,0.0,-1.22,3.59,-0.81
31,0.025999999,0.03,-0.06,0.11,-2.25,4.94,0.0,-1.24,3.6,-0.89
32,0.025999999,0.11,-0.06,0.0,-2.28,4.52,0.0,-1.3,3.64,-0.87
33,0.025999999,-0.01,0.13,-0.11,-1.28,5.26,0.0,-1.28,3.73,-0.89
34,0.025999999,0.06,0.05,0.09,-1.66,4.77,0.0,-1.3,3.77,-0.88
35,0.027,0.07,0.01,0.05,-1.89,4.72,0.0,-1.29,3.8,-0.97
36,0.025,-0.13,-0.09,0.1,-2.39,5.73,0.0,-1.29,3.87,-1.01
37,0.025999999,0.03,-0.0,0.12,-1.95,4.93,0.0,-1.24,3.92,-1.04
38,0.027,-0.08,0.04,-0.03,-1.77,5.57,0.0,-1.2,3.95,-1.11
39,0.025,0.1,0.1,-0.02,-1.42,4.63,0.0,-1.17,3.92,-1.19
40,0.027,0.2,0.02,0.03,-1.83,4.06,0.0,-1.2,3.93,-1.19
41,0.025,0.14,0.03,-0.05,-1.8,4.43,0.0,-1.2,3.95,-1.19
42,0.025999999,0.04,0.1,-0.05,-1.42,4.92,0.0,-1.21,3.98,-1.28
43,0.027,-0.03,-0.07,0.12,-2.28,5.22,0.0,-1.27,4.01,-1.32
44,0.025,-0.01,0.05,0.06,-1.69,5.14,0.0,-1.29,4.04,-1.33
45,0.027,0.05,0.13,-0.01,-1.28,4.85,0.0,-1.27,4.08,-1.33
46,0.025,0.11,0.08,0.02,-1.52,4.53,0.0,-1.34,4.11,-1.29
47,0.025999999,0.04,0.08,-0.06,-1.54,4.93,0.0,-1.35,4.13,-1.32
48,0.027,0.06,0.09,0.11,-1.48,4.75,0.0,-1.4,4.14,-1.31
49,0.025,-0.04,-0.1,0.19,-2.45,5.22,0.0,-1.5,4.17,-1.32
50,0.025999999,0.0,-0.14,0.22,-2.65,5.0,0.0,-1.56,4.22,-1.31
51,0.025999999,-0.03,-0.07,-0.03,-2.36,5.28,0.0,-1.54,4.25,-1.29
52,0.027,0.18,0.3,-0.22,-0.41,4.26,0.0,-1.43,4.25,-1.34
53,0.025999999,0.12,0.08,-0.09,-1.54,4.54,0.0,-1.46,4.27,-1.44
54,0.025999999,-0.04,-0.1,0.12,-2.47,5.25,0.0,-1.58,4.32,-1.35
55,0.025999999,-0.02,-0.07,0.19,-2.26,5.16,0.0,-1.56,4.29,-1.4
56,0.027,0.04,0.11,-0.07,-1.39,4.96,0.0,-1.52,4.28,-1.42
57,0.025,0.24,0.23,-0.02,-0.77,3.87,0.0,-1.49,4.28,-1.42
58,0.027,0.05,0.08,0.17,-1.52,4.78,0.0,-1.51,4.27,-1.52
59,0.025,0.07,-0.02,0.14,-2.01,4.72,0.0,-1.5,4.33,-1.59
60,0.025999999,-0.06,-0.0,0.14,-1.94,5.37,0.0,-1.48,4.41,-1.61
61,0.027,0.01,-0.02,0.07,-2.05,5.04,0.0,-1.48,4.47,-1.58
62,0.025,0.11,-0.09,0.05,-2.42,4.54,0.0,-1.45,4.45,-1.59
63,0.027,0.06,0.11,-0.13,-1.4,4.87,0.0,-1.41,4.49,-1.59
64,0.025,0.12,0.16,-0.16,-1.14,4.57,0.0,-1.43,4.49,-1.58
65,0.025999999,-0.03,0.12,0.11,-1.32,5.23,0.0,-1.46,4.5,-1.59
66,0.027,-0.04,-0.01,-0.04,-2.01,5.35,0.0,-1.49,4.52,-1.6
67,0.025999999,-0.04,0.08,-0.03,-1.54,5.34,0.0,-1.5,4.55,-1.62
68,0.025999999,0.06,0.13,-0.07,-1.29,4.86,0.0,-1.56,4.54,-1.63
69,0.025999999,-0.01,-0.05,0.09,-2.22,5.11,0.0,-1.59,4.58,-1.73
70,0.025999999,-0.18,-0.06,-0.0,-2.25,6.06,0.0,-1.59,4.68,-1.8
71,0.027,-0.07,0.19,-0.2,-0.96,5.59,0.0,-1.55,4.74,-1.84
72,0.025999999,-0.14,0.14,-0.02,-1.21,5.87,0.0,-1.63,4.83,-1.79
73,0.027,-0.2,-0.02,0.11,-2.01,6.09,0.0,-1.72,4.87,-1.83
74,0.025999999,-0.05,-0.07,0.09,-2.33,5.35,0.0,-1.79,4.85,-1.85
75,0.025999999,0.07,0.06,0.07,-1.64,4.71,0.0,-1.81,4.81,-1.84
76,0.025999999,0.12,0.05,0.05,-1.68,4.45,0.0,-1.84,4.73,-1.88
77,0.025,0.18,-0.01,0.19,-1.97,4.09,0.0,-1.87,4.71,-1.86
78,0.025999999,-0.05,-0.06,0.15,-2.22,5.31,0.0,-1.85,4.74,-1.92
79,0.027,0.15,0.01,0.08,-1.89,4.31,0.0,-1.81,4.72,-1.93
80,0.025,-0.01,-0.05,0.11,-2.2,5.11,0.0,-1.82,4.77,-1.93
81,0.027,0.13,-0.11,0.11,-2.52,4.38,0.0,-1.82,4.78,-1.96
82,0.025,0.11,-0.1,0.2,-2.43,4.44,0.0,-1.83,4.77,-1.99
83,0.027,0.14,-0.0,0.04,-1.96,4.4,0.0,-1.77,4.77,-2.06
84,0.025999999,0.1,0.05,-0.03,-1.68,4.59,0.0,-1.72,4.78,-2.07
85,0.025,-0.05,0.17,-0.12,-1.08,5.46,0.0,-1.7,4.75,-2.1
