id,dt,accel_x,accel_y,accel_z,accel_angle_x,accel_angle_y,accel_angle_z,angle_x,angle_y,angle_z
63,0.027999999,-0.06,0.13,-0.15,-9.89,-12.47,0.0,-9.87,-11.43,0.54
64,0.027,-0.09,0.23,0.1,-9.15,-12.06,0.0,-9.76,-11.35,0.56
65,0.025999999,0.02,0.01,0.11,-10.25,-12.59,0.0,-9.74,-11.39,0.59
66,0.027,0.01,-0.02,0.13,-10.36,-12.51,0.0,-9.77,-11.53,0.6
67,0.025999999,-0.01,-0.02,0.15,-10.39,-12.37,0.0,-9.77,-11.6,0.62
68,0.027,-0.01,-0.1,0.17,-10.76,-12.36,0.0,-9.7,-11.6,0.62
69,0.027,0.02,0.06,0.15,-9.96,-12.52,0.0,-9.65,-11.61,0.64
70,0.025999999,-0.01,-0.0,0.07,-10.36,-12.49,0.0,-9.54,-11.62,0.67
71,0.027999999,-0.07,0.03,-0.16,-10.39,-12.44,0.0,-9.43,-11.63,0.7
72,0.027,-0.05,0.08,-0.22,-10.21,-12.62,0.0,-9.32,-11.56,0.71
73,0.025999999,-0.3,0.49,-0.4,-8.22,-11.58,0.0,-8.89,-11.22,0.73
74,0.027,-0.04,0.21,1.02,-8.57,-11.37,0.0,-8.62,-11.3,0.74
75,0.025999999,-0.4,0.5,-0.02,-7.88,-10.63,0.0,-8.15,-11.07,0.82
76,0.027,-0.06,0.92,-0.82,-6.06,-13.42,0.0,-7.52,-10.8,0.95
77,0.025999999,-0.35,0.53,-0.52,-8.1,-11.45,0.0,-7.21,-10.75,1.0
78,0.025999999,-0.3,0.68,-0.15,-7.04,-11.34,0.0,-6.81,-10.52,1.06
79,0.027,-0.4,0.65,0.39,-6.87,-10.29,0.0,-6.48,-10.28,1.21
80,0.027,-0.4,0.69,0.06,-6.85,-10.59,0.0,-6.13,-10.06,1.34
81,0.025999999,-0.37,0.71,0.21,-6.65,-10.63,0.0,-5.82,-9.93,1.41
82,0.025999999,-0.33,0.7,0.39,-6.6,-10.65,0.0,-5.63,-9.94,1.47
83,0.025,-0.41,0.69,0.37,-6.64,-10.27,0.0,-5.39,-9.87,1.53
84,0.027,-0.48,0.8,0.19,-6.22,-10.09,0.0,-5.11,-9.83,1.6
85,0.025999999,-0.3,0.86,0.14,-5.9,-11.07,0.0,-4.78,-9.74,1.7
86,0.025,-0.51,0.9,-0.24,-5.89,-10.32,0.0,-4.31,-9.44,1.73
87,0.027,-0.61,1.07,0.36,-4.73,-9.29,0.0,-3.78,-9.14,1.8
88,0.025,-0.49,1.01,0.22,-5.13,-10.0,0.0,-3.51,-9.01,1.88
89,0.027,-0.64,1.14,0.21,-4.46,-9.23,0.0,-3.21,-8.88,1.91
90,0.025999999,-0.64,1.31,0.42,-3.48,-9.09,0.0,-2.89,-8.83,1.99
91,0.025,-0.56,1.18,0.36,-4.18,-9.53,0.0,-2.56,-8.74,2.07
92,0.025999999,-0.74,1.21,0.28,-4.05,-8.67,0.0,-2.24,-8.48,2.12
93,0.025,-0.65,1.31,0.38,-3.51,-9.07,0.0,-2.03,-8.34,2.16
94,0.025999999,-0.58,1.38,0.77,-3.02,-9.12,0.0,-1.75,-8.19,2.19
95,0.025999999,-0.73,1.6,0.16,-2.03,-8.85,0.0,-1.43,-8.1,2.23
96,0.025999999,-0.66,1.56,0.25,-2.24,-9.13,0.0,-1.21,-8.16,2.25
97,0.025999999,-0.74,1.75,0.45,-1.24,-8.58,0.0,-1.01,-8.14,2.28
98,0.025,-0.75,1.71,0.41,-1.42,-8.58,0.0,-0.88,-8.07,2.28
99,0.025999999,-0.77,1.65,0.28,-1.76,-8.56,0.0,-0.86,-8.1,2.29
100,0.025999999,-0.83,1.69,0.34,-1.55,-8.22,0.0,-0.79,-8.08,2.33
101,0.025,-0.76,1.67,0.36,-1.67,-8.56,0.0,-0.67,-8.0,2.31
102,0.025999999,-0.87,1.82,0.41,-0.85,-7.96,0.0,-0.48,-7.92,2.37
103,0.025999999,-0.84,1.75,0.02,-1.25,-8.39,0.0,-0.21,-7.83,2.39
104,0.025999999,-0.87,1.78,0.37,-1.08,-7.97,0.0,0.19,-7.65,2.45
105,0.025999999,-0.9,1.79,0.05,-1.05,-8.04,0.0,0.54,-7.54,2.48
106,0.025,-0.75,1.75,0.22,-1.23,-8.68,0.0,0.72,-7.47,2.49
107,0.025999999,-0.82,1.85,0.32,-0.71,-8.27,0.0,0.89,-7.38,2.47
108,0.025999999,-0.86,2.01,0.42,0.1,-8.01,0.0,1.0,-7.35,2.44
109,0.025,-0.77,1.9,0.62,-0.46,-8.3,0.0,1.07,-7.31,2.42
110,0.027,-0.9,2.11,0.49,0.6,-7.74,0.0,1.22,-7.22,2.4
111,0.024,-0.93,2.25,0.2,1.36,-7.77,0.0,1.19,-7.26,2.41
112,0.025999999,-0.98,2.2,0.19,1.11,-7.54,0.0,1.21,-7.22,2.43
113,0.025,-0.87,2.04,0.44,0.26,-7.9,0.0,1.23,-7.18,2.43
