id,dt,accel_x,accel_y,accel_z,accel_angle_x,accel_angle_y,accel_angle_z,angle_x,angle_y,angle_z
1054,0.032,2397.98,-13684.15,9804.0,-53.6,-8.11,0.0,-55.11,-5.97,42.86
1055,0.029999997,1961.96,-14452.05,10268.0,-54.13,-6.32,0.0,-55.77,-6.14,42.73
1056,0.032,2521.89,-14019.94,9520.0,-54.93,-8.47,0.0,-56.5,-6.56,42.37
1057,0.031,2465.85,-13999.88,9452.0,-55.11,-8.31,0.0,-56.93,-6.88,42.25
1058,0.029999997,2973.77,-15063.76,9772.0,-55.87,-9.41,0.0,-57.75,-7.4,41.91
1059,0.031,2585.65,-15095.59,9676.0,-56.45,-8.21,0.0,-58.95,-8.16,41.24
1060,0.031,3661.56,-14703.4,8696.0,-57.32,-12.1,0.0,-60.24,-8.76,40.84
1061,0.032,3005.48,-15115.25,8884.0,-58.19,-9.73,0.0,-61.29,-9.28,40.72
1062,0.029999997,3197.43,-14771.09,7960.0,-59.87,-10.79,0.0,-62.37,-9.65,40.62
1063,0.032,2925.37,-14702.91,7828.0,-60.4,-9.97,0.0,-63.62,-9.99,40.64
1064,0.031,2657.35,-14586.74,7160.0,-62.38,-9.29,0.0,-64.75,-10.16,40.55
1065,0.031,3101.33,-14990.61,6884.0,-63.28,-10.65,0.0,-65.63,-10.25,40.36
1066,0.031,3341.3,-15270.49,6684.0,-63.94,-11.34,0.0,-66.48,-10.47,39.96
1067,0.032,3901.25,-14718.41,6228.0,-63.48,-13.72,0.0,-67.02,-10.78,39.67
1068,0.031,3845.22,-14330.43,5776.0,-64.17,-13.98,0.0,-66.92,-10.98,39.61
1069,0.031,3493.22,-14918.52,6296.0,-64.25,-12.18,0.0,-66.29,-11.02,39.69
1070,0.032,3557.21,-15182.68,6336.0,-64.43,-12.2,0.0,-65.17,-11.06,39.93
1071,0.032,3313.16,-16007.04,6960.0,-64.3,-10.75,0.0,-62.72,-11.41,40.2
1072,0.031,4077.07,-14243.38,7624.0,-58.75,-14.17,0.0,-60.35,-12.0,39.88
1073,0.031,3465.05,-13827.72,7836.0,-58.23,-12.3,0.0,-58.04,-12.1,39.78
1074,0.032,4513.04,-15436.22,9308.0,-56.18,-14.06,0.0,-54.61,-12.17,40.33
1075,0.031,3988.91,-14988.73,10744.0,-52.61,-12.21,0.0,-51.09,-13.02,39.97
1076,0.032,3280.87,-11993.23,10392.0,-47.75,-11.69,0.0,-47.68,-13.33,39.8
1077,0.031,3716.92,-12193.75,11680.0,-44.86,-12.42,0.0,-44.08,-12.96,39.99
1078,0.032,4300.88,-13466.24,13440.0,-43.67,-12.74,0.0,-40.74,-13.25,39.71
1079,0.032,3308.81,-10382.62,12720.0,-38.32,-11.4,0.0,-38.14,-13.69,39.17
1080,0.032,3960.87,-10798.87,13412.0,-37.69,-12.96,0.0,-36.4,-13.28,39.06
1081,0.031,3792.96,-10999.07,14344.0,-36.56,-11.86,0.0,-35.03,-12.72,39.14
1082,0.032,4132.98,-10467.19,14052.0,-35.56,-13.28,0.0,-34.18,-12.57,38.97
1083,0.032,4129.04,-9991.29,13688.0,-34.96,-13.7,0.0,-33.52,-12.2,38.83
1084,0.032,4541.11,-10239.4,14372.0,-34.2,-14.44,0.0,-32.77,-11.7,38.84
1085,0.031,3761.16,-10235.51,14892.0,-33.69,-11.76,0.0,-32.02,-11.37,38.86
1086,0.032,3645.18,-9595.7,14676.0,-32.41,-11.75,0.0,-30.72,-11.29,38.8
